Sample ID,Analyte Name,Date,Time,Elem,Wavelength,Int (Corr),RSD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),Corr Coef,Repl No1,Date1,Time1,Int (Net)1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1,Repl No2,Date2,Time2,Int (Net)2,Int (Corr)2,Conc (Calib)2,Conc (Samp)2,Repl No3,Date3,Time3,Int (Net)3,Int (Corr)3,Conc (Calib)3,Conc (Samp)3,Repl No4,Date4,Time4,Int (Net)4,Int (Corr)4,Conc (Calib)4,Conc (Samp)4,Repl No5,Date5,Time5,Int (Net)5,Int (Corr)5,Conc (Calib)5,Conc (Samp)5
st5-1,S 181.975,1/31/2023,11:01:46 AM,S,181.972,610.678225,1.491077769, , , , , , ,1,1/31/2023,10:59:16 AM,598.3956079,598.3956079, , ,2,1/31/2023,10:59:53 AM,608.7178589,608.7178589, , ,3,1/31/2023,11:00:31 AM,616.2007007,616.2007007, , ,4,1/31/2023,11:01:08 AM,607.6754942,607.6754942, , ,5,1/31/2023,11:01:46 AM,622.4014632,622.4014632, , 
st5-1,P 213.617,1/31/2023,11:01:46 AM,P,213.617,4151.813663,1.268361901, , , , , , ,1,1/31/2023,10:59:16 AM,4080.768117,4080.768117, , ,2,1/31/2023,10:59:53 AM,4110.984825,4110.984825, , ,3,1/31/2023,11:00:31 AM,4189.563784,4189.563784, , ,4,1/31/2023,11:01:08 AM,4178.737406,4178.737406, , ,5,1/31/2023,11:01:46 AM,4199.01418,4199.01418, , 
st5-1,P 178.221,1/31/2023,11:01:46 AM,P,178.221,283.8146647,1.173634012, , , , , , ,1,1/31/2023,10:59:16 AM,284.5766088,284.5766088, , ,2,1/31/2023,10:59:53 AM,281.6160421,281.6160421, , ,3,1/31/2023,11:00:31 AM,279.6911936,279.6911936, , ,4,1/31/2023,11:01:08 AM,284.7911815,284.7911815, , ,5,1/31/2023,11:01:46 AM,288.3982976,288.3982976, , 
st5-1,K 766.490,1/31/2023,11:01:20 AM,K,766.454,697582.9038,1.157323607, , , , , , ,1,1/31/2023,10:58:50 AM,702807.7814,702807.7814, , ,2,1/31/2023,10:59:28 AM,702967.8555,702967.8555, , ,3,1/31/2023,11:00:05 AM,702597.49,702597.49, , ,4,1/31/2023,11:00:43 AM,695118.9594,695118.9594, , ,5,1/31/2023,11:01:20 AM,684422.4326,684422.4326, , 
st5-1,Mn 257.610,1/31/2023,11:01:26 AM,Mn,257.605,62048.3674,0.994488304, , , , , , ,1,1/31/2023,10:58:55 AM,61181.04923,61181.04923, , ,2,1/31/2023,10:59:33 AM,61705.90686,61705.90686, , ,3,1/31/2023,11:00:11 AM,62304.31385,62304.31385, , ,4,1/31/2023,11:00:48 AM,62267.26795,62267.26795, , ,5,1/31/2023,11:01:26 AM,62783.29914,62783.29914, , 
st5-1,Sc,1/31/2023,11:01:15 AM,Sc,361.374,14906569.92,1.605797879, , , , , , ,1,1/31/2023,10:58:45 AM,14634559.17,14634559.17, , ,2,1/31/2023,10:59:22 AM,14803181.9,14803181.9, , ,3,1/31/2023,11:00:00 AM,14956807.56,14956807.56, , ,4,1/31/2023,11:00:37 AM,14858054.34,14858054.34, , ,5,1/31/2023,11:01:15 AM,15280246.65,15280246.65, , 
100ppm,Sc 361.383,1/31/2023,11:11:13 AM,Sc,361.383,16717209.13,0.28839003,100, ,100, ,0.28839003, ,1,1/31/2023,11:10:39 AM,16707068.41,16707068.41,99.93933966, ,2,1/31/2023,11:10:56 AM,16674875.35,16674875.35,99.74676527, ,3,1/31/2023,11:11:13 AM,16769683.62,16769683.62,100.3138951, ,,,,,,,,,,,,,,
100ppm,Eu 381.967,1/31/2023,11:11:13 AM,Eu,381.967,13862374.15,0.127481279, , , , , , ,1,1/31/2023,11:10:39 AM,13862067.58,13870481.46, , ,2,1/31/2023,11:10:56 AM,13807050.18,13842103.19, , ,3,1/31/2023,11:11:13 AM,13918089.28,13874537.79, , ,,,,,,,,,,,,,,
100ppm,Sc 361.383,1/31/2023,11:14:46 AM,Sc,361.376,17242457.44,0.239772981,103.1419617, ,103.14, ,0.239772981, ,1,1/31/2023,11:14:11 AM,17245579.41,17245579.41,103.1606369, ,2,1/31/2023,11:14:28 AM,17199642.2,17199642.2,102.8858469, ,3,1/31/2023,11:14:46 AM,17282150.7,17282150.7,103.3794012, ,,,,,,,,,,,,,,
100ppm,Eu 381.967,1/31/2023,11:14:46 AM,Eu,381.951,27286264.85,0.270231829, , , , , , ,1,1/31/2023,11:14:11 AM,28167674.18,27304672.61, , ,2,1/31/2023,11:14:28 AM,28138305.07,27349053.25, , ,3,1/31/2023,11:14:46 AM,28124437.11,27205068.68, , ,,,,,,,,,,,,,,
